"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1","Appartamento via Giordano Bruno, Albaro, Genova","1350.0","5+","128.0","2","2"
"2","Appartamento via Monte Zovetto, Albaro, Genova","900.0","5+","76.0","nan","2"
"3","Attico via San Martino, San Martino, Genova","600.0","5","75.0","nan","2"
"4","Palazzo - Edificio via de Marini 61, Sampierdarena, Genova","1450.0","4","210.0","2","2"
"5","Bilocale via del Commercio 17, Nervi, Genova","500.0","2","51.0","nan","2"
"6","Trilocale via Roma, Centro Città, Genova","550.0","3","60.0","nan","2"
"7","Quadrilocale via di San Sebastiano, Centro Città, Genova","480.0","4","60.0","nan","2"
"8","Trilocale via Lorenzo Ghiglini, Nervi, Genova","500.0","3","60.0","nan","2"
"9","Monolocale buono stato, secondo piano, Pegli, Genova","350.0","nan","30.0","nan","2"
"10","Bilocale buono stato, primo piano, Sestri Ponente, Genova","400.0","2","40.0","nan","2"
"11","Quadrilocale 85 m², Sampierdarena, Genova","500.0","4","85.0","nan","2"
"12","Quadrilocale via Assarotti, Centro Città, Genova","600.0","4","53.0","nan","2"
"13","Appartamento via Pozzuolo del Friuli, Albaro, Genova","800.0","5+","80.0","2","2"
"14","Trilocale via Argonauti, Sturla, Genova","1200.0","3","90.0","nan","2"
"15","Appartamento viale Odino, Castelletto, Genova","1250.0","5","110.0","2","2"
"16","Appartamento via Venezia, 4, Dinegro, Genova","1050.0","5+","116.0","nan","2"
"17","Bilocale via Serra, San Vincenzo, Genova","750.0","2","80.0","nan","2"
"18","Quadrilocale via Edera, Quezzi, Genova","750.0","4","80.0","nan","2"
"19","Bilocale via Sergio Piombelli, Rivarolo, Genova","400.0","2","60.0","nan","2"
"20","Appartamento ottimo stato, quarto piano, Sturla, Genova","700.0","5","100.0","nan","2"
"21","Bilocale ottimo stato, terzo piano, Dinegro, Genova","460.0","2","40.0","nan","2"
"22","Bilocale ottimo stato, quarto piano, Sampierdarena, Genova","530.0","2","55.0","nan","2"
"23","Appartamento ottimo stato, primo piano, Dinegro, Genova","600.0","5","100.0","nan","2"
"24","Bilocale via Capolungo 24, Nervi, Genova","1850.0","2","70.0","nan","2"
"25","Quadrilocale salita di Santa Maria di Castello 15, Molo, Genova","900.0","4","90.0","2","2"
"26","Quadrilocale via Angelo Orsini, Albaro, Genova","1400.0","4","149.0","3","3 - 4"
"27","Appartamento via Albaro, Albaro, Genova","1650.0","5","190.0","2","3 - 4"
"28","Appartamento via Mylius 2, Carignano, Genova","1500.0","5+","150.0","2","3 - 4"
"29","Quadrilocale ottimo stato, secondo piano, Marassi, Genova","650.0","4","95.0","nan","3 - 4"
"30","Bilocale via Serra, San Vincenzo, Genova","750.0","2","80.0","nan","3 - 4"
"31","Bilocale via Antiochia, Foce, Genova","nan","2","53.0","nan","3 - 4"
"32","Trilocale Vico del Santo Sepolcro, Caricamento, Genova","450.0","3","60.0","nan","3 - 4"
"33","Monolocale ottimo stato, terzo piano, Dinegro, Genova","460.0","nan","40.0","nan","3 - 4"
"34","Attico ottimo stato, 40 m², Dinegro, Genova","500.0","2","40.0","nan","3 - 4"
"35","Appartamento ottimo stato, piano rialzato, Sestri Ponente, Genova","600.0","5","100.0","nan","3 - 4"
"36","Trilocale ottimo stato, quinto piano, Bolzaneto, Genova","350.0","3","70.0","nan","3 - 4"
"37","Bilocale buono stato, piano terra, Molassana, Genova","200.0","2","30.0","nan","3 - 4"
"38","Trilocale via Cantore, Sampierdarena, Genova","500.0","3","70.0","nan","3 - 4"
"39","Trilocale via Amarena 4, Marassi, Genova","450.0","3","73.0","nan","3 - 4"
"40","Quadrilocale via di Sant'Agnese, Carmine, Genova","700.0","4","83.0","nan","3 - 4"
"41","Trilocale Piano Di Sant'andrea 11, Molo, Genova","1300.0","3","71.0","nan","3 - 4"
"42","Appartamento via Miramare, Carignano, Genova","2700.0","5+","250.0","3","3 - 4"
"43","Appartamento via Emilio Massone, Sturla, Genova","650.0","5+","80.0","nan","3 - 4"
"44","Trilocale corso Europa, Nervi, Genova","800.0","3","75.0","nan","3 - 4"
"45","Bilocale via 20 Settembre, Centro Città, Genova","660.0","2","70.0","nan","3 - 4"
"46","Appartamento via Benedetto Cairoli 8, Maddalena, Genova","1300.0","5+","170.0","2","3 - 4"
"47","Bilocale via Palestro 58, Castelletto, Genova","780.0","2","54.0","nan","3 - 4"
"48","Appartamento via Guglielmo Oberdan 50, Nervi, Genova","700.0","5+","100.0","nan","3 - 4"
"49","Monolocale via Nicola Fabrizi, Quarto, Genova","570.0","nan","59.0","nan","3 - 4"
"50","Appartamento via Livorno, Albaro, Genova","900.0","5+","90.0","nan","3 - 4"
"51","Quadrilocale via Leonardo Fea 125, Marassi, Genova","600.0","4","90.0","nan","1"
"52","Trilocale via Costa Verde, Borzoli, Genova","600.0","3","104.0","nan","1"
"53","Trilocale corso Sardegna, Marassi, Genova","655.0","3","78.0","nan","1"
"54","Quadrilocale via Ospedale Andrea Gallino 6, Pontedecimo, Genova","700.0","4","122.0","nan","1"
"55","Trilocale via Goffredo Mameli 1, Castelletto, Genova","1150.0","3","132.0","nan","1"
"56","Bilocale piazza Piccapietra 83, Centro Città, Genova","780.0","2","45.0","nan","1"
"57","Appartamento Mura delle Chiappe, Righi, Genova","1850.0","5+","180.0","nan","1"
"58","Quadrilocale corso Monte Grappa 62, Manin, Genova","1080.0","4","170.0","nan","1"
"59","Trilocale via del Tritone, Sturla, Genova","700.0","3","65.0","nan","1"
"60","Quadrilocale via della Libertà 26, Foce, Genova","650.0","4","100.0","nan","1"
"61","Trilocale piazzetta Campopisano Inferiore 7, Molo, Genova","900.0","3","115.0","nan","1"
"62","Trilocale via 25 Aprile 8, Centro Città, Genova","840.0","3","53.0","nan","1"
"63","Monolocale via Ferrara, San Teodoro, Genova","400.0","nan","47.0","nan","1"
"64","Trilocale via Filippo Corridoni 1, Albaro, Genova","1350.0","3","90.0","2","1"
"65","Appartamento via Vittorio Bottego 2, Sampierdarena, Genova","800.0","5","131.0","nan","1"
"66","Monolocale largo della Zecca, Carmine, Genova","700.0","nan","45.0","nan","1"
"67","Bilocale Viottolo Nicolò Ardizzone 6, Nervi, Genova","1350.0","2","70.0","nan","1"
"68","Quadrilocale via Giovanni Amarena 25a, San Fruttuoso, Genova","550.0","4","100.0","nan","1"
"69","Appartamento corso Europa, Quarto, Genova","750.0","5+","85.0","nan","1"
"70","Quadrilocale via Leonardo Montaldo 34, Staglieno, Genova","680.0","4","105.0","nan","1"
"71","Appartamento via Innocenzo Frugoni 15, Quadrilatero, Genova","1800.0","5+","300.0","2","1"
"72","Trilocale via Felice Maritano 12, Rivarolo, Genova","550.0","3","78.0","nan","1"
"73","Appartamento via Monte Zovetto 12, Albaro, Genova","750.0","5+","94.0","nan","1"
"74","Trilocale via Ambrogio Spinola, Castelletto, Genova","460.0","3","80.0","nan","1"
"75","Trilocale via Piacenza 110, Molassana, Genova","740.0","3","79.0","nan","1"
"76","Attico piazza Inferiore Roso 4, Prè, Genova","650.0","2","45.0","nan","4"
"77","Trilocale via Generale Manfredo Fanti 15, Sampierdarena, Genova","550.0","3","100.0","nan","4"
"78","Quadrilocale via Capraia 1, Castelletto, Genova","600.0","4","126.0","2","4"
"79","Quadrilocale via monaco simone, Apparizione, Genova","600.0","4","85.0","nan","4"
"80","Quadrilocale via Trento 40, Albaro, Genova","800.0","4","100.0","2","4"
"81","Appartamento via Bottini 7, Sturla, Genova","850.0","5","100.0","nan","4"
"82","Appartamento viale delle Palme, Nervi, Genova","1850.0","5+","160.0","2","4"
"83","Trilocale via Domenico Meirana 8, Pontedecimo, Genova","550.0","3","75.0","nan","4"
"84","Appartamento traversa Alla Costa 4, Sestri Ponente, Genova","1000.0","5","100.0","nan","4"
"85","Trilocale via Lodovico Calda 45, Sestri Ponente, Genova","480.0","3","70.0","nan","4"
"86","Appartamento via Benvenuto Cellini, San Fruttuoso, Genova","750.0","5+","130.0","2","4"
"87","Bilocale viale delle Palme 20, Nervi, Genova","600.0","2","32.0","nan","4"
"88","Bilocale piazza di Sarzano 6C, Molo, Genova","950.0","2","50.0","nan","4"
"89","Trilocale via Giovanni Torti 30, San Fruttuoso, Genova","650.0","3","80.0","nan","4"
"90","Appartamento via Andrea Provana di Leyni 2, Nervi, Genova","700.0","5+","90.0","nan","4"
"91","Appartamento via Tolemaide 5, Foce, Genova","390.0","5","16.0","nan","4"
"92","Bilocale via Teglia 41, Bolzaneto, Genova","350.0","2","60.0","nan","4"
"93","Trilocale via Raffaele Pratolongo 8, Sturla, Genova","850.0","3","96.0","2","4"
"94","Bilocale via Montallegro 4, Albaro, Genova","700.0","2","39.0","nan","4"
"95","Attico via Ippolito d'Aste 1, Quadrilatero, Genova","1200.0","5","186.0","2","4"
"96","Appartamento via Tolemaide 5, Foce, Genova","290.0","5","10.0","nan","4"
"97","Attico via Aurora 4, Albaro, Genova","950.0","nan","44.0","nan","4"
"98","Bilocale salita del Prione 35, Molo, Genova","1100.0","2","48.0","nan","4"
"99","Monolocale corso Sardegna 40, Marassi, Genova","40.0","nan","10.0","2","4"
"100","Bilocale via San Vincenzo, San Vincenzo, Genova","700.0","2","65.0","nan","4"
"101","Bilocale via San Biagio di Valpolcevera, Pontedecimo, Genova","620.0","2","71.0","nan","2"
"102","Appartamento via Leonardo Montaldo 8B, Staglieno, Genova","700.0","5","125.0","2","2"
"103","Appartamento via Nicolò Copernico, Borgoratti, Genova","520.0","5","70.0","nan","2"
"104","Bilocale via Carlo Linneo 201, Rivarolo, Genova","340.0","2","51.0","nan","2"
"105","Quadrilocale via Zara 29, Albaro, Genova","1300.0","4","120.0","nan","2"
"106","Appartamento via Padre Giovanni Semeria 26, Albaro, Genova","900.0","5","120.0","nan","2"
"107","Appartamento via Francesco Pastonchii, Marassi, Genova","650.0","5","100.0","nan","2"
"108","Quadrilocale Passo Spartaco Ferradini 19, Marassi, Genova","750.0","4","136.0","2","2"
"109","Appartamento via Posalunga, Borgoratti, Genova","400.0","5","45.0","nan","2"
"110","Quadrilocale via delle Ginestre, Staglieno, Genova","500.0","4","98.0","nan","2"
"111","Bilocale Vico Tana 1, Principe, Genova","580.0","2","45.0","nan","2"
"112","Bilocale corso Europa 145, San Martino, Genova","500.0","2","65.0","nan","2"
"113","Quadrilocale via Oreste De Gaspari 21, Albaro, Genova","1600.0","4","163.0","2","2"
"114","Bilocale via di Montesano 4, Manin, Genova","640.0","2","60.0","nan","2"
"115","Appartamento via Giuseppe Casaregis, Foce, Genova","1000.0","5","120.0","nan","2"
"116","Quadrilocale via Giovanni Torti 29, San Fruttuoso, Genova","720.0","4","94.0","nan","2"
"117","Bilocale Vico di scurreria 2, Centro Città, Genova","750.0","2","45.0","nan","2"
"118","Appartamento salita Staiato, Apparizione, Genova","600.0","5","90.0","nan","2"
"119","Bilocale via Antonio Cantore 8G, Sampierdarena, Genova","1000.0","2","64.0","nan","2"
"120","Trilocale via Torricelli 8, Borgoratti, Genova","480.0","3","53.0","nan","2"
"121","Monolocale corso Sardegna 40, Marassi, Genova","70.0","nan","15.0","2","2"
"122","Appartamento via Caffaro 21A, Castelletto, Genova","700.0","5","115.0","nan","2"
"123","Appartamento viale Quartara, Quarto, Genova","950.0","5+","120.0","2","2"
"124","Appartamento salita del Prione, Molo, Genova","1100.0","5","140.0","2","2"
"125","Appartamento via Felice Romani 12, Manin, Genova","780.0","5+","160.0","nan","2"
"126","Bilocale via Mogadiscio 8A, Molassana, Genova","430.0","2","60.0","nan","4"
"127","Appartamento corso Magenta, Castelletto, Genova","700.0","5","110.0","nan","4"
"128","Bilocale via Posalunga 59, Borgoratti, Genova","450.0","2","65.0","nan","4"
"129","Trilocale via Giovanni Ambrogio Molfino 10, Sestri Ponente, Genova","750.0","3","101.0","nan","4"
"130","Appartamento Lungoparco Gropallo 2, Manin, Genova","950.0","5+","120.0","2","4"
"131","Bilocale salita Inferiore di Sant'Anna, Castelletto, Genova","470.0","2","48.0","nan","4"
"132","Quadrilocale viale Villa Chiesa 8, Multedo, Genova","1380.0","4","100.0","nan","4"
"133","Palazzo - Edificio Corte dei Lambruschini, Foce, Genova","2950.0","5","300.0","2","4"
"134","Appartamento corso Firenze 22, Castelletto, Genova","1900.0","5+","323.0","2","4"
"135","Palazzo - Edificio via de Marini 61, Sampierdarena, Genova","1450.0","4","210.0","2","4"
"136","Appartamento via Luigi Arnaldo Vassallo, Albaro, Genova","1150.0","5","148.0","2","4"
"137","Bilocale via Loano 19, Pegli, Genova","368.0","2","50.0","nan","4"
"138","Trilocale via Pietro Ameglio 7, Marassi, Genova","400.0","3","75.0","nan","4"
"139","Appartamento via del Bragone, Sturla, Genova","1400.0","5","156.0","2","4"
"140","Appartamento via Gaetano Barbareschi 201, Dinegro, Genova","650.0","5+","92.0","nan","4"
